CountryName,className,Not_Evaluated,Data_Deficient,Least_Concern,Near_Threatened,Vulnerable,Endangered,Critically_Endangered,Extinct_in_the_Wild,Extinct
Algeria,ACTINOPTERYGII,0,29,324,6,12,5,6,0,0
Algeria,AGARICOMYCETES,0,0,3,1,2,0,0,0,0
Algeria,AMPHIBIA,0,0,11,0,1,2,0,0,0
Algeria,ANTHOZOA,0,3,3,0,1,1,0,0,0
Algeria,AVES,0,0,341,21,17,6,3,0,0
Algeria,BIVALVIA,0,1,2,0,0,2,2,0,0
Algeria,CEPHALASPIDOMORPHI,0,0,1,0,0,0,0,0,0
Algeria,CEPHALOPODA,0,19,21,0,1,0,0,0,0
Algeria,CHONDRICHTHYES,0,1,8,9,20,15,12,0,0
Algeria,GASTROPODA,0,15,21,1,5,5,1,0,2
Algeria,GNETOPSIDA,0,0,5,0,0,0,0,0,0
Algeria,HOLOTHUROIDEA,0,3,7,0,0,0,0,0,0
Algeria,INSECTA,0,51,150,12,16,12,0,0,0
Algeria,LILIOPSIDA,0,10,192,10,6,3,1,0,0
Algeria,LYCOPODIOPSIDA,0,0,1,0,0,0,0,0,0
Algeria,MAGNOLIOPSIDA,0,6,258,26,11,3,4,0,0
Algeria,MALACOSTRACA,0,2,8,0,1,0,0,0,0
Algeria,MAMMALIA,0,5,87,4,13,5,2,1,0
Algeria,MYXINI,0,0,1,0,0,0,0,0,0
Algeria,PINOPSIDA,0,0,7,0,0,2,1,0,0
Algeria,POLYPODIOPSIDA,0,0,11,0,0,1,0,0,0
Algeria,REPTILIA,0,4,77,8,4,4,1,0,0
